"id","url","address","price","property","floorplanArea","type","bedrooms","bathrooms","tenure","size","nearestStationName","nearestStationDistance"
"125660723","https://rightmove.co.uk/properties/125660723#/?channel=RES_BUY","Cardigan Road, Richmond, TW10","£90,000","","","Garages","","","Leasehold","","Richmond Station","0.5 miles"
"90010798","https://rightmove.co.uk/properties/90010798#/?channel=RES_BUY","Pagoda Avenue, Richmond, TW9","£250,000","","","Studio","","×1","Leasehold","260 sq. ft.","North Sheen Station","0.3 miles"
"124809038","https://rightmove.co.uk/properties/124809038#/?channel=RES_BUY","Sovereign Court, Victoria Villas, Richmond, Surrey, TW9 2JX","£285,000","","","Studio","","","Share of Freehold","","North Sheen Station","0.2 miles"
"120906248","https://rightmove.co.uk/properties/120906248#/?channel=RES_BUY","Kew Gardens Road, Richmond, TW9","£299,950","","","Apartment","×1","×1","Share of Freehold","","Kew Gardens Station","0.2 miles"
"123640850","https://rightmove.co.uk/properties/123640850#/?channel=RES_BUY","Sheendale Road, Richmond, TW9","£299,999","","","Apartment","×1","×1","Leasehold","320 sq. ft.","North Sheen Station","0.3 miles"
"123835367","https://rightmove.co.uk/properties/123835367#/?channel=RES_BUY","Sheen Road, Richmond, TW9","£318,500","","43.2","Flat","","×1","Leasehold","","Richmond Station","0.1 miles"
"124753952","https://rightmove.co.uk/properties/124753952#/?channel=RES_BUY","Garden Road, Richmond, TW9","£325,000","","44.1","Flat","×1","×1","Leasehold","","North Sheen Station","0.1 miles"
"123107918","https://rightmove.co.uk/properties/123107918#/?channel=RES_BUY","Roehampton Vale, Putney","£325,000","","67.5","Flat","×2","×1","Leasehold","","Southfields Station","1.7 miles"
"118313282","https://rightmove.co.uk/properties/118313282#/?channel=RES_BUY","Victoria Villas, Richmond","£325,000","","42.5","Flat","×1","×1","Leasehold","","North Sheen Station","0.2 miles"
"121647620","https://rightmove.co.uk/properties/121647620#/?channel=RES_BUY","Marksbury Avenue, Kew","£325,000","","42.7","Flat","×1","×1","Leasehold","","North Sheen Station","0.2 miles"
"125470616","https://rightmove.co.uk/properties/125470616#/?channel=RES_BUY","Howson Terrace, Richmond Hill, Richmond, TW10","£345,000","","","Flat","","×1","Share of Freehold","","Richmond Station","0.5 miles"
"121922765","https://rightmove.co.uk/properties/121922765#/?channel=RES_BUY","Lewis Road, Richmond","£350,000","","","Flat","×1","×1","Leasehold","","Richmond Station","0.3 miles"
"123717203","https://rightmove.co.uk/properties/123717203#/?channel=RES_BUY","Lower Mortlake Road, Richmond","£350,000","","","Apartment","×1","×1","Freehold","","Richmond Station","0.2 miles"
"85654401","https://rightmove.co.uk/properties/85654401#/?channel=RES_BUY","Adelaide Road, Richmond, TW9","£350,000","","","Apartment","×1","×1","Leasehold","","North Sheen Station","0.2 miles"
"123296765","https://rightmove.co.uk/properties/123296765#/?channel=RES_BUY","Richmond, London, TW9","£350,000","","","Flat","×1","×1","Leasehold","506 sq. ft.","North Sheen Station","0.1 miles"
"121188557","https://rightmove.co.uk/properties/121188557#/?channel=RES_BUY","Richmond, London, TW10","£350,000","","","Flat","×1","×1","Leasehold","463 sq. ft.","Richmond Station","0.6 miles"
"125343641","https://rightmove.co.uk/properties/125343641#/?channel=RES_BUY","Lower Mortlake Road, Richmond, Surrey, TW9","£350,000","","","Apartment","×1","×1","Leasehold","","North Sheen Station","0.3 miles"
"85477248","https://rightmove.co.uk/properties/85477248#/?channel=RES_BUY","Garden Road, Richmond, TW9","£350,000","","","Flat","×1","×1","Leasehold","","North Sheen Station","0.1 miles"
"125019578","https://rightmove.co.uk/properties/125019578#/?channel=RES_BUY","Sheen Road, Richmond, TW10","£350,000","","","Flat","×1","×1","Ask agent","","North Sheen Station","0.2 miles"
"85489575","https://rightmove.co.uk/properties/85489575#/?channel=RES_BUY","Marksbury Avenue, Kew, TW9","£350,000","","","Apartment","×1","×1","Leasehold","","North Sheen Station","0.3 miles"
"113400368","https://rightmove.co.uk/properties/113400368#/?channel=RES_BUY","The Avenue, Kew, Surrey, TW9","£355,000","","","Apartment","×1","×1","Share of Freehold","","Kew Gardens Station","0.3 miles"
"124411202","https://rightmove.co.uk/properties/124411202#/?channel=RES_BUY","Sheen Road, Richmond","£360,000","","65.5","Flat","×2","×1","Leasehold","","North Sheen Station","0.4 miles"
"107594234","https://rightmove.co.uk/properties/107594234#/?channel=RES_BUY","Richmond Upon Thames, London, TW9","£365,000","","","Flat","×1","×1","Leasehold","","Richmond Station","0.1 miles"
"96636220","https://rightmove.co.uk/properties/96636220#/?channel=RES_BUY","Amelia House, 2 Strand Drive, Richmond, Surrey, TW9","£367,500","","46.26","Flat","×1","×1","Leasehold","","Chiswick Station","0.4 miles"
"124723349","https://rightmove.co.uk/properties/124723349#/?channel=RES_BUY","Sheen Road, Richmond","£370,000","","64.7","Flat","×2","×1","Leasehold","","North Sheen Station","0.3 miles"
"85391799","https://rightmove.co.uk/properties/85391799#/?channel=RES_BUY","Sheen Road, Richmond, TW9","£370,000","","69.9","Flat","×2","×1","Leasehold","","North Sheen Station","0.4 miles"
"96590419","https://rightmove.co.uk/properties/96590419#/?channel=RES_BUY","Sandycombe Road, Richmond, TW9","£375,000","","","Apartment","×1","×1","Leasehold","","North Sheen Station","0.3 miles"
"124977806","https://rightmove.co.uk/properties/124977806#/?channel=RES_BUY","Lower Richmond Road, Richmond","£375,000","","48.7","Apartment","×1","×1","Leasehold","","North Sheen Station","0.4 miles"
"122085494","https://rightmove.co.uk/properties/122085494#/?channel=RES_BUY","Garden Road, Richmond","£375,000","","60.0","Flat","×2","×1","Leasehold","","North Sheen Station","0.1 miles"
"124993553","https://rightmove.co.uk/properties/124993553#/?channel=RES_BUY","Kew Bridge, Kew TW9","£375,000","","","House","×4","×1","Ask agent","","Kew Bridge Station","0.2 miles"
"106914620","https://rightmove.co.uk/properties/106914620#/?channel=RES_BUY","Petersham Road, Richmond, UK, TW10","£375,000","","","Apartment","×1","×1","Leasehold","","Richmond Station","0.4 miles"
"113260058","https://rightmove.co.uk/properties/113260058#/?channel=RES_BUY","Dancer Road, Richmond, Surrey, TW9 4LD","£375,000","","","Flat","×1","","Ask agent","","North Sheen Station","0.2 miles"
"120565829","https://rightmove.co.uk/properties/120565829#/?channel=RES_BUY","Cedar House, 35 Melliss Avenue, Kew, TW9","£379,950","","","Apartment","×1","×1","Leasehold","","Kew Gardens Station","0.3 miles"
"115883207","https://rightmove.co.uk/properties/115883207#/?channel=RES_BUY","Duke Street, Richmond, TW9","£380,000","","","Flat","","×1","Leasehold","","Richmond Station","0.2 miles"
"124060034","https://rightmove.co.uk/properties/124060034#/?channel=RES_BUY","Royal Park Gate","£385,000","","","Ground Flat","×2","×1","Leasehold","621 sq. ft.","Hampton Wick Station","1.1 miles"
"115216418","https://rightmove.co.uk/properties/115216418#/?channel=RES_BUY","Cedar House, Melliss Avenue, Kew, TW9","£385,000","","","Apartment","×1","×1","Ask agent","","Kew Gardens Station","0.3 miles"
"114663158","https://rightmove.co.uk/properties/114663158#/?channel=RES_BUY","North Road, Richmond, Surrey, UK, TW9","£385,000","","","Apartment","×1","×1","Leasehold","","Kew Gardens Station","0.2 miles"
"122209064","https://rightmove.co.uk/properties/122209064#/?channel=RES_BUY","Richmond, London, TW9","£390,000","","45.9","Flat","×1","×1","Share of Freehold","409 sq. ft.","North Sheen Station","0.3 miles"
"122762114","https://rightmove.co.uk/properties/122762114#/?channel=RES_BUY","Dee Road, Richmond","£395,000","","","Apartment","×1","×1","Leasehold","","North Sheen Station","0.2 miles"
"119857403","https://rightmove.co.uk/properties/119857403#/?channel=RES_BUY","Forsyth House, 211-217 Lower Richmond Road, Richmond, London, TW9","£399,950","","60.7","Apartment","×1","×1","Leasehold","","North Sheen Station","0.4 miles"
"85442562","https://rightmove.co.uk/properties/85442562#/?channel=RES_BUY","Cardigan Road, Richmond, Surrey, TW10","£400,000","","43.01","Flat","×1","×1","Share of Freehold","","Richmond Station","0.6 miles"
"111130961","https://rightmove.co.uk/properties/111130961#/?channel=RES_BUY","Church Road, Richmond, TW9","£400,000","","","Apartment","×1","×1","Leasehold","","Richmond Station","0.1 miles"
"120609902","https://rightmove.co.uk/properties/120609902#/?channel=RES_BUY","Ellerker Gardens, Richmond, Surrey, TW10","£400,000","","46.2","Apartment","×1","×1","Leasehold","","Richmond Station","0.4 miles"
"125134853","https://rightmove.co.uk/properties/125134853#/?channel=RES_BUY","Union Court, Richmond, Surrey, TW9","£400,000","","","","×1","×1","Leasehold","","Richmond Station","0.2 miles"
"85636671","https://rightmove.co.uk/properties/85636671#/?channel=RES_BUY","Garden Road, Richmond, TW9","£400,000","","","Flat","×2","×1","Leasehold","","North Sheen Station","0.1 miles"
"125130719","https://rightmove.co.uk/properties/125130719#/?channel=RES_BUY","Sheen Road, Richmond, TW10","£400,000","","","Flat","×1","×1","Leasehold","","North Sheen Station","0.2 miles"
"120294281","https://rightmove.co.uk/properties/120294281#/?channel=RES_BUY","Sheen Road, Richmond","£400,000","","65.4","Flat","×2","×1","Leasehold","","North Sheen Station","0.4 miles"
"114553649","https://rightmove.co.uk/properties/114553649#/?channel=RES_BUY","Richmond, Richmond Upon Thames, TW9","£400,000","","","Flat","×2","","Leasehold","721 sq. ft.","North Sheen Station","0.4 miles"
"122569175","https://rightmove.co.uk/properties/122569175#/?channel=RES_BUY","Camel Grove, Kingston Upon Thames","£400,000","","","Flat","×2","×1","Leasehold","625 sq. ft.","Hampton Wick Station","1.1 miles"
"124957451","https://rightmove.co.uk/properties/124957451#/?channel=RES_BUY","Dee Road, Richmond","£405,000","","40.6","Apartment","×1","×1","Leasehold","","North Sheen Station","0.2 miles"
"121503572","https://rightmove.co.uk/properties/121503572#/?channel=RES_BUY","Lower Mortlake Road, Richmond, TW9","£420,000","","","Apartment","×1","×1","Leasehold","","Richmond Station","0.3 miles"
"123664418","https://rightmove.co.uk/properties/123664418#/?channel=RES_BUY","Richmond, London, TW9","£420,000","","","Flat","×1","×1","Leasehold","","Richmond Station","0.3 miles"
"122923184","https://rightmove.co.uk/properties/122923184#/?channel=RES_BUY","Lower Richmond Road, Richmond, Surrey, TW9","£420,000","","50.17","Flat","×1","×1","Leasehold","","North Sheen Station","0.4 miles"
"124828013","https://rightmove.co.uk/properties/124828013#/?channel=RES_BUY","Dancer Road, Kew, Richmond, TW9","£425,000","","47.39","Flat","×1","×1","Share of Freehold","510 sq. ft.","North Sheen Station","0.2 miles"
"125681516","https://rightmove.co.uk/properties/125681516#/?channel=RES_BUY","Niton Road, Kew","£425,000","","","Flat","×1","×1","Leasehold","","North Sheen Station","0.2 miles"
"84758520","https://rightmove.co.uk/properties/84758520#/?channel=RES_BUY","Lower Richmond Road, RICHMOND","£425,000","","58.99","Flat","×2","×1","Leasehold","","North Sheen Station","0.2 miles"
"118878737","https://rightmove.co.uk/properties/118878737#/?channel=RES_BUY","Butler Farm Close, Ham","£425,000","","67.6","Flat","×2","×2","Leasehold","","Teddington Station","1.1 miles"
"115066916","https://rightmove.co.uk/properties/115066916#/?channel=RES_BUY","Richmond Upon Thames, London, TW9","£425,000","","","Flat","×1","×1","Share of Freehold","443 sq. ft.","Richmond Station","0.2 miles"
"102103157","https://rightmove.co.uk/properties/102103157#/?channel=RES_BUY","Sussex House, Kew Road, Kew, Richmond, Surrey, TW9","£425,000","","","Flat","×1","","Leasehold","","Kew Gardens Station","0.3 miles"
"124272362","https://rightmove.co.uk/properties/124272362#/?channel=RES_BUY","Victoria Villas, Richmond","£425,000","","","Flat","×1","×1","Leasehold","","North Sheen Station","0.2 miles"
"124878368","https://rightmove.co.uk/properties/124878368#/?channel=RES_BUY","Sheen Court, Richmond, TW10","£425,000","","","Apartment","×1","","Share of Freehold","","North Sheen Station","0.2 miles"
"84725361","https://rightmove.co.uk/properties/84725361#/?channel=RES_BUY","Victoria Villas, Richmond, TW9","£425,000","","57.7","Apartment","×1","","Ask agent","","North Sheen Station","0.2 miles"
"84021240","https://rightmove.co.uk/properties/84021240#/?channel=RES_BUY","Lower Richmond Road, Richmond","£425,000","","72.4","Flat","×2","×2","Leasehold","","North Sheen Station","0.2 miles"
"120984311","https://rightmove.co.uk/properties/120984311#/?channel=RES_BUY","Eversfield Road, Kew, TW9","£425,000","","","Apartment","×1","×1","Share of Freehold","","Kew Gardens Station","0.4 miles"
"122077799","https://rightmove.co.uk/properties/122077799#/?channel=RES_BUY","Brick Farm Close, Kew","£425,000","","70.7","Flat","×3","×1","Leasehold","","Kew Gardens Station","0.2 miles"
"124814657","https://rightmove.co.uk/properties/124814657#/?channel=RES_BUY","Victoria Villas, Richmond, TW9","£425,000","","","Flat","×1","×1","Leasehold","624 sq. ft.","North Sheen Station","0.2 miles"
"125430653","https://rightmove.co.uk/properties/125430653#/?channel=RES_BUY","Friars Stile Road, Richmond","£425,000","","","Apartment","×1","×1","Leasehold","","Richmond Station","0.6 miles"
"96571510","https://rightmove.co.uk/properties/96571510#/?channel=RES_BUY","Dee Road, Richmond","£435,000","","49.4","Apartment","×1","×1","Leasehold","","North Sheen Station","0.2 miles"
"125652719","https://rightmove.co.uk/properties/125652719#/?channel=RES_BUY","2 Hardwicke Road, Richmond","£435,000","","71.7","Flat","×2","×1","Leasehold","","Teddington Station","0.9 miles"
"125258312","https://rightmove.co.uk/properties/125258312#/?channel=RES_BUY","Lichfield Gardens, Richmond, Surrey, TW9","£435,000","","","Flat","×1","×1","Leasehold","","Richmond Station","0.1 miles"
"116379386","https://rightmove.co.uk/properties/116379386#/?channel=RES_BUY","Sheen Road, Richmond, TW9","£435,000","","","Block of Apartments","×1","","Leasehold","","Richmond Station","0.4 miles"
"125298890","https://rightmove.co.uk/properties/125298890#/?channel=RES_BUY","Ham, Richmond","£435,000","","","Ground Flat","×2","×1","Share of Freehold","","Hampton Wick Station","1.2 miles"
"122894255","https://rightmove.co.uk/properties/122894255#/?channel=RES_BUY","Richmond, London, TW9","£445,000","","","Flat","×1","×1","Leasehold","560 sq. ft.","North Sheen Station","0.4 miles"
"122620019","https://rightmove.co.uk/properties/122620019#/?channel=RES_BUY","Terrano House, Kew Riverside, TW9","£450,000","","54.1","Flat","×1","×1","Leasehold","","Kew Gardens Station","0.4 miles"
"85388727","https://rightmove.co.uk/properties/85388727#/?channel=RES_BUY","Victoria Place, Richmond","£450,000","","","Apartment","×1","×1","Leasehold","","Richmond Station","0.3 miles"
"122925113","https://rightmove.co.uk/properties/122925113#/?channel=RES_BUY","Richmond, London, TW9","£450,000","","","Flat","×1","×1","Leasehold","581 sq. ft.","Richmond Station","0.2 miles"
"120012758","https://rightmove.co.uk/properties/120012758#/?channel=RES_BUY","Lower Richmond Road, Richmond","£450,000","","","Apartment","×1","×1","Leasehold","","North Sheen Station","0.3 miles"
"121257995","https://rightmove.co.uk/properties/121257995#/?channel=RES_BUY","Florence Terrace, Kingston Vale, SW15","£450,000","","","Terraced","×2","×2","Freehold","1,106 sq. ft.","Norbiton Station","2.1 miles"
"124045445","https://rightmove.co.uk/properties/124045445#/?channel=RES_BUY","Friars Stile Road, Richmond","£450,000","","","Apartment","×2","×1","Leasehold","","Richmond Station","0.6 miles"
"115880252","https://rightmove.co.uk/properties/115880252#/?channel=RES_BUY","Eversfield Road, Kew, Surrey, TW9","£450,000","","","Apartment","×2","×1","Leasehold","","Kew Gardens Station","0.4 miles"
"124965014","https://rightmove.co.uk/properties/124965014#/?channel=RES_BUY","Garden Road, Richmond, TW9","£450,000","","","Flat","×2","×1","Leasehold","","North Sheen Station","0.1 miles"
"110158763","https://rightmove.co.uk/properties/110158763#/?channel=RES_BUY","Eversfield Road, Richmond, UK, TW9","£450,000","","66.8","Apartment","×2","×1","Leasehold","","Kew Gardens Station","0.4 miles"
"118049519","https://rightmove.co.uk/properties/118049519#/?channel=RES_BUY","Castlegate, Richmond, TW9","£450,000","","43.4","Apartment","×1","×1","Leasehold","","North Sheen Station","0.3 miles"
"125710100","https://rightmove.co.uk/properties/125710100#/?channel=RES_BUY","Larkfield Road, Richmond, TW9","£450,000","","","Flat","×1","×1","Share of Freehold","","Richmond Station","0.2 miles"
"125121575","https://rightmove.co.uk/properties/125121575#/?channel=RES_BUY","Floyer Close, Richmond","£450,000","","43.2","Flat","×1","×1","Leasehold","","North Sheen Station","0.4 miles"
"85761873","https://rightmove.co.uk/properties/85761873#/?channel=RES_BUY","Biggin Hill Close, Kingston upon Thames, KT2","£459,950","","","Flat","×2","×2","Leasehold","","Teddington Station","0.9 miles"
"122075597","https://rightmove.co.uk/properties/122075597#/?channel=RES_BUY","Tangier Road, Richmond","£460,000","","61.13","Maisonette","×2","×1","Share of Freehold","","North Sheen Station","0.3 miles"
"122933558","https://rightmove.co.uk/properties/122933558#/?channel=RES_BUY","Whitcome Mews, Kew Riverside, Surrey, TW9","£469,950","","","Flat","×1","×1","Leasehold","","Kew Gardens Station","0.4 miles"
"85690395","https://rightmove.co.uk/properties/85690395#/?channel=RES_BUY","Levett Square, Kew","£475,000","","53.5","Flat","×1","×1","Leasehold","","Kew Gardens Station","0.3 miles"
"125347673","https://rightmove.co.uk/properties/125347673#/?channel=RES_BUY","Victoria Villas, Richmond, TW9","£475,000","","54.8","Flat","×1","×1","Leasehold","590 sq. ft.","North Sheen Station","0.2 miles"
"123523205","https://rightmove.co.uk/properties/123523205#/?channel=RES_BUY","Dunstable Road, Richmond, TW9","£475,000","","","Flat","×1","×1","Leasehold","","Richmond Station","0.2 miles"
"90233155","https://rightmove.co.uk/properties/90233155#/?channel=RES_BUY","Strand Drive, Kew, Surrey, TW9","£480,000","","","Apartment","×2","×1","Leasehold","","Chiswick Station","0.6 miles"
"85369638","https://rightmove.co.uk/properties/85369638#/?channel=RES_BUY","Red Lion Street, Richmond, TW9","£485,000","","45.88","Flat","×1","×1","Leasehold","","Richmond Station","0.3 miles"
"121829534","https://rightmove.co.uk/properties/121829534#/?channel=RES_BUY","Dudley Road, Richmond, TW9","£485,000","","52.8","Flat","×2","×1","Leasehold","","Kew Gardens Station","0.4 miles"
"117907955","https://rightmove.co.uk/properties/117907955#/?channel=RES_BUY","Temple Road, Richmond, TW9","£485,000","","","Apartment","×2","×1","Leasehold","","North Sheen Station","0.4 miles"
"122659946","https://rightmove.co.uk/properties/122659946#/?channel=RES_BUY","Mariner Gardens, Ham","£485,000","","","Maisonette","×2","×1","Leasehold","","Strawberry Hill Station","0.9 miles"
"124961600","https://rightmove.co.uk/properties/124961600#/?channel=RES_BUY","Chancery House, Levett Square, Kew, Surrey, TW9","£489,950","","","Apartment","×1","×1","Leasehold","","Kew Gardens Station","0.4 miles"
"122880155","https://rightmove.co.uk/properties/122880155#/?channel=RES_BUY","Levett Square, Kew","£495,000","","55.7","Flat","×1","×1","Leasehold","","Kew Gardens Station","0.4 miles"
"116346020","https://rightmove.co.uk/properties/116346020#/?channel=RES_BUY","Kenmore Close, Kew, SRY, TW9","£495,000","","","Apartment","×2","×1","Share of Freehold","","Kew Gardens Station","0.3 miles"
"96631732","https://rightmove.co.uk/properties/96631732#/?channel=RES_BUY","Wilton Court, Sheen Road, Richmond, TW9","£499,950","","","Apartment","×1","×1","Leasehold","","Richmond Station","0.1 miles"
"121837484","https://rightmove.co.uk/properties/121837484#/?channel=RES_BUY","Shaftesbury Road, Richmond, Surrey, TW9","£499,999","","44.96","Apartment","×1","×1","Share of Freehold","","Richmond Station","0.2 miles"
"125028257","https://rightmove.co.uk/properties/125028257#/?channel=RES_BUY","Sheen Road, Richmond","£500,000","","","Apartment","×1","×1","Leasehold","","Richmond Station","0.1 miles"
"124553912","https://rightmove.co.uk/properties/124553912#/?channel=RES_BUY","Church Road, Richmond, Surrey, TW10","£500,000","","51.6","Apartment","×1","×1","Share of Freehold","","Richmond Station","0.4 miles"
"96645190","https://rightmove.co.uk/properties/96645190#/?channel=RES_BUY","Sheen Road, Richmond, TW9","£500,000","","","Flat","×1","×1","Leasehold","","Richmond Station","0.1 miles"
"125511104","https://rightmove.co.uk/properties/125511104#/?channel=RES_BUY","Abbotts Mead, Ham, Richmond, TW10","£500,000","","59.7","Flat","×2","×1","Leasehold","643 sq. ft.","Teddington Station","1.1 miles"
"118818476","https://rightmove.co.uk/properties/118818476#/?channel=RES_BUY","1a Orchard Road, Richmond, TW9","£500,000","","61.8","Flat","×2","×1","Freehold","","North Sheen Station","0.1 miles"
"123181607","https://rightmove.co.uk/properties/123181607#/?channel=RES_BUY","Dee Road, Richmond, TW9","£500,000","","","Apartment","×2","×1","Leasehold","","North Sheen Station","0.2 miles"
"122963114","https://rightmove.co.uk/properties/122963114#/?channel=RES_BUY","1a Orchard Road, Richmond, TW9","£500,000","","76.6","Flat","×2","×2","Leasehold","","North Sheen Station","0.1 miles"
"123970649","https://rightmove.co.uk/properties/123970649#/?channel=RES_BUY","Acqua House, 41 Melliss Avenue, Richmond, TW9","£505,000","","","Apartment","×1","×1","Leasehold","","Kew Gardens Station","0.4 miles"
"123415433","https://rightmove.co.uk/properties/123415433#/?channel=RES_BUY","Mortlake Road, Richmond, TW9","£505,000","","44.9","Apartment","×1","×1","Leasehold","","Kew Gardens Station","0.2 miles"
"120312935","https://rightmove.co.uk/properties/120312935#/?channel=RES_BUY","Cedar Terrace, Richmond","£515,000","","60.7","Flat","×2","×2","Share of Freehold","","Richmond Station","0.2 miles"
"85575492","https://rightmove.co.uk/properties/85575492#/?channel=RES_BUY","Manning Place, Richmond","£520,000","","62.1","Flat","×2","×2","Share of Freehold","","Richmond Station","0.7 miles"
"125044769","https://rightmove.co.uk/properties/125044769#/?channel=RES_BUY","Sheen Road, Richmond, TW9","£525,000","","","Flat","×2","×1","Leasehold","","Richmond Station","0.2 miles"
"124537433","https://rightmove.co.uk/properties/124537433#/?channel=RES_BUY","Castlegate, Richmond, TW9","£525,000","","64.15","Flat","×2","×2","Leasehold","690 sq. ft.","North Sheen Station","0.3 miles"
"123812411","https://rightmove.co.uk/properties/123812411#/?channel=RES_BUY","Layton Place, Kew, Surrey, TW9","£525,000","","","Apartment","×1","×1","Leasehold","","Kew Gardens Station","0.1 miles"
"122847146","https://rightmove.co.uk/properties/122847146#/?channel=RES_BUY","Larkfield Road, Richmond","£525,000","","55.2","Flat","×1","×1","Share of Freehold","","Richmond Station","0.1 miles"
"120978647","https://rightmove.co.uk/properties/120978647#/?channel=RES_BUY","Dee Road, Richmond","£525,000","","66.0","Apartment","×2","×2","Leasehold","","North Sheen Station","0.2 miles"
"124036016","https://rightmove.co.uk/properties/124036016#/?channel=RES_BUY","Kew Lodge, Kew Road, Richmond, Surrey, TW9","£525,000","","","Flat","×2","","Share of Freehold","","Kew Gardens Station","0.3 miles"
"120536579","https://rightmove.co.uk/properties/120536579#/?channel=RES_BUY","Quintock House, Broomfield Road, Kew, Richmond, Surrey, TW9","£525,000","","","Ground Flat","×2","","Share of Freehold","","Kew Gardens Station","0.1 miles"
"123998990","https://rightmove.co.uk/properties/123998990#/?channel=RES_BUY","Catherine Drive, Richmond, TW9","£525,000","","","Apartment","×2","×1","Leasehold","","Richmond Station","0.1 miles"
"125460884","https://rightmove.co.uk/properties/125460884#/?channel=RES_BUY","Dee Road, Richmond","£525,000","","81.1","Flat","×1","×1","Leasehold","","North Sheen Station","0.2 miles"
"124681913","https://rightmove.co.uk/properties/124681913#/?channel=RES_BUY","Lower Mortlake Road, Richmond","£525,000","","60.1","Flat","×1","×1","Leasehold","","North Sheen Station","0.3 miles"
"121851692","https://rightmove.co.uk/properties/121851692#/?channel=RES_BUY","Catherine Drive, Richmond, TW9","£525,000","","68.5","Flat","×2","×1","Leasehold","","Richmond Station","0.1 miles"
"124824431","https://rightmove.co.uk/properties/124824431#/?channel=RES_BUY","Halford Road, Richmond","£525,000","","","Maisonette","×1","×1","Share of Freehold","","Richmond Station","0.3 miles"
"123053729","https://rightmove.co.uk/properties/123053729#/?channel=RES_BUY","Sussex House, 220 Kew Road, TW9","£525,000","","59.5","Flat","×2","×1","Leasehold","","Kew Gardens Station","0.3 miles"
"122293937","https://rightmove.co.uk/properties/122293937#/?channel=RES_BUY","Sheen Court, Richmond","£535,000","","","Apartment","×2","×1","Leasehold","","North Sheen Station","0.2 miles"
"124406945","https://rightmove.co.uk/properties/124406945#/?channel=RES_BUY","Church Road, Richmond","£535,000","","56.8","Flat","×2","×1","Leasehold","","Richmond Station","0.1 miles"
"122138486","https://rightmove.co.uk/properties/122138486#/?channel=RES_BUY","Stanmore Road, Kew","£535,000","","84.0","Flat","×2","×1","Share of Freehold","","North Sheen Station","0.4 miles"
"124316897","https://rightmove.co.uk/properties/124316897#/?channel=RES_BUY","Sandycombe Road, Kew, TW9","£539,950","","","Apartment","×2","×1","Share of Freehold","","Kew Gardens Station","0.1 miles"
"118525307","https://rightmove.co.uk/properties/118525307#/?channel=RES_BUY","Pagoda Avenue, Richmond, Surrey, TW9","£545,000","","","Flat","×2","×1","Share of Freehold","608 sq. ft.","North Sheen Station","0.3 miles"
"122098091","https://rightmove.co.uk/properties/122098091#/?channel=RES_BUY","Friars Stile Road, Richmond","£549,950","","69.3","Flat","×2","×1","Leasehold","","Richmond Station","0.6 miles"
"124690892","https://rightmove.co.uk/properties/124690892#/?channel=RES_BUY","Clifford Avenue, East Sheen, London, SW14","£549,950","","","Flat","×2","×2","Share of Freehold","","North Sheen Station","0.4 miles"
"119795240","https://rightmove.co.uk/properties/119795240#/?channel=RES_BUY","Courtlands Avenue, Richmond, Surrey, TW9","£550,000","","","Flat","×2","×2","Leasehold","","Kew Gardens Station","0.4 miles"
"124875878","https://rightmove.co.uk/properties/124875878#/?channel=RES_BUY","Chilton Road, Richmond, Surrey, TW9","£550,000","","60.29","End of Terrace","×1","×1","Leasehold","","North Sheen Station","0.3 miles"
"124384880","https://rightmove.co.uk/properties/124384880#/?channel=RES_BUY","Park Road, Richmond, Surrey, TW10","£550,000","","57.13","Flat","×1","×1","Share of Freehold","","Richmond Station","0.6 miles"
"124133567","https://rightmove.co.uk/properties/124133567#/?channel=RES_BUY","Richmond TW9","£550,000","","","Apartment","×2","×1","Share of Freehold","","Richmond Station","0.2 miles"
"123506768","https://rightmove.co.uk/properties/123506768#/?channel=RES_BUY","Dunstable Road, Richmond, TW9","£550,000","","47.9","Apartment","×1","×1","Leasehold","","Richmond Station","0.2 miles"
"122741936","https://rightmove.co.uk/properties/122741936#/?channel=RES_BUY","Mill House, 26 Dunstable Road, Richmond, TW9","£550,000","","","Flat","×1","×1","Leasehold","","Richmond Station","0.1 miles"
"68853979","https://rightmove.co.uk/properties/68853979#/?channel=RES_BUY","Lawn Crescent, Ground Floor Flat, Kew, Surrey, TW9","£550,000","","","Apartment","×1","×1","Freehold","","Kew Gardens Station","0.2 miles"
"124046318","https://rightmove.co.uk/properties/124046318#/?channel=RES_BUY","St. Marys Grove, Richmond","£550,000","","","Apartment","×2","×1","Leasehold","","North Sheen Station","0.3 miles"
"123638789","https://rightmove.co.uk/properties/123638789#/?channel=RES_BUY","Darell Road, Kew, Surrey, TW9","£550,000","","","Apartment","×2","×1","Leasehold","","North Sheen Station","0.2 miles"
